GoidDecimal;GoidLittleEndian;GoidBigEndian;ClothesType;ShortName;ItemName;ModelId;ColorId
46568;0xe8b50000;0x0000b5e8;FEMALE COAT;01areaKTrenchF;Area K Trenchcoat;15;1
47245;0x8db80000;0x0000b88d;FEMALE COAT;Archive5MachFSuit;System Suit;18;0
47241;0x89b80000;0x0000b889;FEMALE COAT;Archive5MervFTrench;Blood Noble Trench;17;0
46406;0x46b50000;0x0000b546;FEMALE COAT;ArchiveMervFTrench;Demon Army Trench;14;1
39222;0x36990000;0x00009936;FEMALE COAT;DungeonHammervilleFCoat1;Ravenswing;7;3
42928;0xb0a70000;0x0000a7b0;FEMALE COAT;DungeonHammervilleFCoat1R1;Ravenswing;7;3
38307;0xa3950000;0x000095a3;FEMALE COAT;DungeonHammervilleFCoat2;Ravenstail;7;3
42929;0xb1a70000;0x0000a7b1;FEMALE COAT;DungeonHammervilleFCoat2R1;Ravenstail;7;3
39223;0x37990000;0x00009937;FEMALE COAT;DungeonHammervilleFCoat3;Ravensfeather;7;3
42930;0xb2a70000;0x0000a7b2;FEMALE COAT;DungeonHammervilleFCoat3R1;Ravensfeather;7;3
39225;0x39990000;0x00009939;FEMALE COAT;DungeonHarajukoFCoat1;Lionskin Wrap;8;5
38312;0xa8950000;0x000095a8;FEMALE COAT;DungeonHarajukoFCoat2;Tigerskin Wrap;8;5
39226;0x3a990000;0x0000993a;FEMALE COAT;DungeonHarajukoFCoat3;Dragonskin Wrap;8;5
38314;0xaa950000;0x000095aa;FEMALE COAT;DungeonRidgeWayFCoat1;Dark Shadow Jacket;6;13
42940;0xbca70000;0x0000a7bc;FEMALE COAT;DungeonRidgeWayFCoat1R1;Dark Shadow Jacket;6;13
39228;0x3c990000;0x0000993c;FEMALE COAT;DungeonRidgeWayFCoat2;Black Shadow Jacket;6;13
42941;0xbda70000;0x0000a7bd;FEMALE COAT;DungeonRidgeWayFCoat2R1;Black Shadow Jacket;6;13
38316;0xac950000;0x000095ac;FEMALE COAT;DungeonRidgeWayFCoat3;Deep Shadow Jacket;6;13
42942;0xbea70000;0x0000a7be;FEMALE COAT;DungeonRidgeWayFCoat3R1;Deep Shadow Jacket;6;13
39234;0x42990000;0x00009942;FEMALE COAT;DungeonSouthVauxtonFCoat1;Blackwolf Coat;2;10
38324;0xb4950000;0x000095b4;FEMALE COAT;DungeonSouthVauxtonFCoat2;Greywolf Coat;2;10
39235;0x43990000;0x00009943;FEMALE COAT;DungeonSouthVauxtonFCoat3;Direwolf Skin;2;10
38115;0xe3940000;0x000094e3;FEMALE COAT;EggFCoat;Egg's Shell;8;0
47138;0x22b80000;0x0000b822;FEMALE COAT;EliteCommFCoat;Elite Commando Jacket;16;0
38145;0x01950000;0x00009501;FEMALE COAT;EthanFCoat;Mother Coat;1;9
42900;0x94a70000;0x0000a794;FEMALE COAT;EthanFCoatR1;Mother Coat;1;9
38142;0xfe940000;0x000094fe;FEMALE COAT;GregoreFCoat;Vampire Coat;14;1
42908;0x9ca70000;0x0000a79c;FEMALE COAT;GregoreFCoatR1;Vampire Coat;14;1
48041;0xa9bb0000;0x0000bba9;FEMALE COAT;HamptonFCoat;Hampton Jacket;19;0
47097;0xf9b70000;0x0000b7f9;FEMALE COAT;IndustrialFCoat;Industrial Jacket;8;21
38204;0x3c950000;0x0000953c;FEMALE COAT;KatScratchFCoat;Kat Skin;8;19
42884;0x84a70000;0x0000a784;FEMALE COAT;KatScratchFCoatR1;Kat Skin;8;19
38090;0xca940000;0x000094ca;FEMALE COAT;LoriporFCoat;Loripor's Jacket;3;2
42879;0x7fa70000;0x0000a77f;FEMALE COAT;LoriporFCoatR1;Loripor's Jacket;3;2
48179;0x33bc0000;0x0000bc33;FEMALE COAT;OmegaFCoat;Omega Trenchcoat;15;0
42691;0xc3a60000;0x0000a6c3;FEMALE COAT;Pandora2_1FCoat;Tiger Acolyte's Coat;5;13
42692;0xc4a60000;0x0000a6c4;FEMALE COAT;Pandora2_2FCoat;Tiger Warrior's Coat;5;13
42693;0xc5a60000;0x0000a6c5;FEMALE COAT;Pandora2_3FCoat;Tiger Master's Coat;5;13
38161;0x11950000;0x00009511;FEMALE COAT;SergeantWynnFCoat;Winner's Coat;6;1
42745;0xf9a60000;0x0000a6f9;FEMALE COAT;TransitionFCoat;Awakening Jacket;13;0
47943;0x47bb0000;0x0000bb47;FEMALE COAT;ValkFSuit;Valshamr;18;1
39516;0x5c9a0000;0x00009a5c;FEMALE COAT;WidowsMoorFCoat;Widow's Moor Wool;6;4
46407;0x47b50000;0x0000b547;FEMALE GLASSES;ArchiveMachFGlasses;System Sunglasses;12;0
39508;0x549a0000;0x00009a54;FEMALE GLASSES;AshencourteFGlasses;Ashencourte Shades;5;0
38104;0xd8940000;0x000094d8;FEMALE GLASSES;CaspianFGlasses;Caspian's Sunglasses;1;0
42770;0x12a70000;0x0000a712;FEMALE GLASSES;CaspianFGlasses2;Caspian's Sunglasses;1;0
42886;0x86a70000;0x0000a786;FEMALE GLASSES;CaspianFGlassesR1;Caspian's Sunglasses;1;0
48053;0xb5bb0000;0x0000bbb5;FEMALE GLASSES;CloudedFGlasses;Clouded Spectacles;11;0
38318;0xae950000;0x000095ae;FEMALE GLASSES;DungeonStanoFGlasses1;Detection Shades;5;2
42946;0xc2a70000;0x0000a7c2;FEMALE GLASSES;DungeonStanoFGlasses1R1;Detection Shades;5;2
39237;0x45990000;0x00009945;FEMALE GLASSES;DungeonStanoFGlasses2;Perception Shades;5;2
42947;0xc3a70000;0x0000a7c3;FEMALE GLASSES;DungeonStanoFGlasses2R1;Perception Shades;5;2
38320;0xb0950000;0x000095b0;FEMALE GLASSES;DungeonStanoFGlasses3;Watcher's Shades;5;2
42948;0xc4a70000;0x0000a7c4;FEMALE GLASSES;DungeonStanoFGlasses3R1;Watcher's Shades;5;2
47142;0x26b80000;0x0000b826;FEMALE GLASSES;EliteCommFGlasses;Elite Commando Goggles;10;0
47126;0x16b80000;0x0000b816;FEMALE GLASSES;HeadlessFGlasses;Headless Glasses;1;9
38131;0xf3940000;0x000094f3;FEMALE GLASSES;LieutenantChangFGlasses;Viral Shades;5;4
38153;0x09950000;0x00009509;FEMALE GLASSES;MikahFGlasses;Hacker Glasses;5;1
38123;0xeb940000;0x000094eb;FEMALE GLASSES;OptixFGlasses;Optix Optics;5;4
42904;0x98a70000;0x0000a798;FEMALE GLASSES;OptixFGlassesR1;Optix Optics;5;4
38092;0xcc940000;0x000094cc;FEMALE GLASSES;ReactorFGlasses;Reaction Sunglasses;3;0
42890;0x8aa70000;0x0000a78a;FEMALE GLASSES;ReactorFGlassesR1;Reaction Sunglasses;3;0
38133;0xf5940000;0x000094f5;FEMALE GLASSES;ShockKiddFGlasses;Security Glasses;13;5
47901;0x1dbb0000;0x0000bb1d;FEMALE GLASSES;SleepFGlasses1;Blurred Sleepwalker Shades;5;8
47902;0x1ebb0000;0x0000bb1e;FEMALE GLASSES;SleepFGlasses2;Fogged Sleepwalker Shades;5;9
47903;0x1fbb0000;0x0000bb1f;FEMALE GLASSES;SleepFGlasses3;Opaque Sleepwalker Shades;5;10
47370;0x0ab90000;0x0000b90a;FEMALE GLASSES;SSRFGlasses;SSR Glasses;13;0
42743;0xf7a60000;0x0000a6f7;FEMALE GLASSES;TransitionFGlasses;Awakening Glasses;9;0
47937;0x41bb0000;0x0000bb41;FEMALE GLASSES;ValkFGlassesRose;Rose-colored Glasses;13;1
47941;0x45bb0000;0x0000bb45;FEMALE GLASSES;ValkFGlassesValf;Valfreyja's Shield;13;3
47939;0x43bb0000;0x0000bb43;FEMALE GLASSES;ValkFGlassesValk;Valkyrja Glasses;13;2
39520;0x609a0000;0x00009a60;FEMALE GLASSES;WidowsMoorFGlasses;Widow's Moor Lenses;6;0
48047;0xafbb0000;0x0000bbaf;FEMALE GLASSES;WireFGlasses;Wireframe Glasses;13;4
38140;0xfc940000;0x000094fc;FEMALE GLOVES;CormanFGloves;Tiger Claws;6;0
38299;0x9b950000;0x0000959b;FEMALE GLOVES;DungeonUriahFGloves1;Corrupt Hands;6;0
42916;0xa4a70000;0x0000a7a4;FEMALE GLOVES;DungeonUriahFGloves1R1;Corrupt Hands;6;0
39240;0x48990000;0x00009948;FEMALE GLOVES;DungeonUriahFGloves2;Defiled Gloves;6;0
42917;0xa5a70000;0x0000a7a5;FEMALE GLOVES;DungeonUriahFGloves2R1;Defiled Gloves;6;0
38301;0x9d950000;0x0000959d;FEMALE GLOVES;DungeonUriahFGloves3;Fighter's Gloves;6;0
42918;0xa6a70000;0x0000a7a6;FEMALE GLOVES;DungeonUriahFGloves3R1;Fighter's Gloves;6;0
47146;0x2ab80000;0x0000b82a;FEMALE GLOVES;EliteCommFGloves;Elite Commando Gloves;11;0
48008;0x88bb0000;0x0000bb88;FEMALE GLOVES;IndustrialFGloves;Industrial Gloves;4;0
38094;0xce940000;0x000094ce;FEMALE GLOVES;JackFGloves;Jack's Gloves;2;0
42898;0x92a70000;0x0000a792;FEMALE GLOVES;JackFGlovesR1;Jack's Gloves;2;0
38202;0x3a950000;0x0000953a;FEMALE GLOVES;KertonFGloves;Sublime Gloves;4;0
42881;0x81a70000;0x0000a781;FEMALE GLOVES;KertonFGlovesR1;Sublime Gloves;4;0
47783;0xa7ba0000;0x0000baa7;FEMALE GLOVES;KunoFGlovesGranB;Black Kunoichi Grandmaster Tebukuro;15;0
47782;0xa6ba0000;0x0000baa6;FEMALE GLOVES;KunoFGlovesGranG;Gray Kunoichi Grandmaster Tebukuro;14;0
47781;0xa5ba0000;0x0000baa5;FEMALE GLOVES;KunoFGlovesGranW;White Kunoichi Grandmaster Tebukuro;13;0
47789;0xadba0000;0x0000baad;FEMALE GLOVES;KunoFGlovesInitB;Black Kunoichi Initiate Tebukuro;15;0
47788;0xacba0000;0x0000baac;FEMALE GLOVES;KunoFGlovesInitG;Gray Kunoichi Initiate Tebukuro;14;0
47787;0xabba0000;0x0000baab;FEMALE GLOVES;KunoFGlovesInitW;White Kunoichi Initiate Tebukuro;13;0
47786;0xaaba0000;0x0000baaa;FEMALE GLOVES;KunoFGlovesMastB;Black Kunoichi Master Tebukuro;15;0
47785;0xa9ba0000;0x0000baa9;FEMALE GLOVES;KunoFGlovesMastG;Gray Kunoichi Master Tebukuro;14;0
47784;0xa8ba0000;0x0000baa8;FEMALE GLOVES;KunoFGlovesMastW;White Kunoichi Master Tebukuro;13;0
47379;0x13b90000;0x0000b913;FEMALE GLOVES;OneZeroFRobotHands;10 Fingers;12;0
42690;0xc2a60000;0x0000a6c2;FEMALE GLOVES;Pandora1_1FGloves;Doctor's Gloves;4;0
42689;0xc1a60000;0x0000a6c1;FEMALE GLOVES;Pandora1_2FGloves;Surgeon's Gloves;4;0
42688;0xc0a60000;0x0000a6c0;FEMALE GLOVES;Pandora1_3FGloves;Torturer's Gloves;4;0
47108;0x04b80000;0x0000b804;FEMALE GLOVES;QuicksilverFGloves;Quicksilver Gloves;5;0
39510;0x569a0000;0x00009a56;FEMALE GLOVES;SakuraFGloves;Sakura Ninja Gloves;5;0
38118;0xe6940000;0x000094e6;FEMALE GLOVES;StraightEdgeJohnFGloves;Pugilist's Gloves;4;0
42902;0x96a70000;0x0000a796;FEMALE GLOVES;StraightEdgeJohnFGlovesR1;Pugilist's Gloves;4;0
46436;0x64b50000;0x0000b564;FEMALE GLOVES;StraightEdgeJohnFGlovesR2;Pugilist's Gloves;4;0
38163;0x13950000;0x00009513;FEMALE GLOVES;WinstonFGloves;Reactive Gloves;3;0
39498;0x4a9a0000;0x00009a4a;FEMALE GLOVES;YukiFGloves;Yuki Ninja Gloves;5;0
48172;0x2cbc0000;0x0000bc2c;FEMALE HAT;AccCapFHat;Accelerated Captain's Beret;45;0
46405;0x45b50000;0x0000b545;FEMALE HAT;ArchiveZionFBeret;Red Eye Beret;28;0
38125;0xed940000;0x000094ed;FEMALE HAT;ClarkeFHat;Sparkling Fedora;6;0
42906;0x9aa70000;0x0000a79a;FEMALE HAT;ClarkeFHatR1;Sparkling Fedora;6;0
47006;0x9eb70000;0x0000b79e;FEMALE HAT;CorruptPatchersBandF;Patcher's Bandana;32;0
47004;0x9cb70000;0x0000b79c;FEMALE HAT;CorruptPatchersHatF;Patcher's Hat;31;0
47008;0xa0b70000;0x0000b7a0;FEMALE HAT;CorruptPatchersHeadF;Patcher's Headgear;33;0
38308;0xa4950000;0x000095a4;FEMALE HAT;DungeonGracyHeightsFHat1;Euphoricap;3;0
42934;0xb6a70000;0x0000a7b6;FEMALE HAT;DungeonGracyHeightsFHat1R1;Euphoricap;3;0
39219;0x33990000;0x00009933;FEMALE HAT;DungeonGracyHeightsFHat2;Hygenicap;3;0
42935;0xb7a70000;0x0000a7b7;FEMALE HAT;DungeonGracyHeightsFHat2R1;Hygenicap;3;0
38310;0xa6950000;0x000095a6;FEMALE HAT;DungeonGracyHeightsFHat3;Asepticap;3;0
42936;0xb8a70000;0x0000a7b8;FEMALE HAT;DungeonGracyHeightsFHat3R1;Asepticap;3;0
47144;0x28b80000;0x0000b828;FEMALE HAT;EliteCommFHat;Elite Commando Helmet;35;0
48164;0x24bc0000;0x0000bc24;FEMALE HAT;ExecFCap;Executable Skullcap;46;0
